winkel,datum,tijd,beschrijving,prijs per product*,aantal,totaal prijs,winkel categorie
Kruidvat,19-12-2024,16:36,Kerstkaarten,2.99,2,5.98,Drogerieën
Kruidvat,19-12-2024,16:36,Kerstkaarten,2.99,2,5.98,Drogist
Vomar,02-12-2024,12:14,Wokkels Naturel,2.15,1,2.15,Supermarkt
Vomar,02-12-2024,12:14,Kipfilet,2.89,1,2.89,Supermarkt
Vomar,02-12-2024,12:14,Iziini Panini,2.29,1,2.29,Supermarkt
Vomar,02-12-2024,12:14,Vici Surimi Sticks,1.36,1,1.36,Supermarkt
